196@tarde#pc,242,3
186@noche#mobile,302,3
22@mañana#pc,377,1
244@mañana#pc,51,2
166@mañana#pc,346,1
298@tarde#mobile,474,4
115@tarde#pc,265,2
253@noche#pc,465,5
305@mañana#pc,451,3
6@noche#mobile,86,3
62@noche#pc,257,2
286@tarde#pc,1014,5
200@mañana#pc,222,5
210@noche#pc,40,3
224@noche#mobile,29,3
303@mañana#pc,785,3
122@tarde#mobile,387,5
194@noche#mobile,274,2
291@mañana#mobile,1042,4
234@noche#pc,1184,2
119@tarde#mobile,392,4
167@tarde#pc,486,4
299@tarde#mobile,144,4
291@mañana#mobile,118,2
308@tarde#mobile,1,4
95@noche#mobile,546,2
38@noche#mobile,95,5
102@tarde#mobile,768,2
63@noche#mobile,277,4
160@noche#mobile,234,5
50@noche#pc,246,3
301@mañana#pc,98,4
225@noche#mobile,193,4
290@tarde#mobile,88,4
97@mañana#mobile,194,3
157@noche#pc,274,4
181@noche#mobile,1081,1
278@noche#pc,603,5
276@noche#pc,796,1
7@tarde#pc,32,4
10@noche#pc,16,4
284@noche#pc,304,4
201@noche#mobile,979,2
276@noche#mobile,564,3
287@noche#mobile,327,5
246@noche#mobile,201,5
242@noche#mobile,1137,5
249@noche#pc,241,5
99@tarde#mobile,4,5
178@noche#mobile,332,3
251@noche#pc,100,4
81@noche#mobile,432,2
260@noche#pc,322,4
25@noche#mobile,181,5
59@noche#pc,196,5
72@tarde#mobile,679,2
87@noche#mobile,384,4
290@tarde#pc,143,5
42@noche#pc,423,5
292@noche#pc,515,4
115@tarde#pc,20,3
20@mañana#pc,288,1
201@noche#pc,219,4
13@noche#pc,526,3
246@noche#pc,919,4
138@noche#mobile,26,5
167@tarde#mobile,232,1
60@tarde#pc,427,5
57@noche#mobile,304,5
223@noche#mobile,274,4
189@noche#mobile,512,4
243@noche#mobile,15,3
92@noche#pc,1049,1
246@noche#mobile,416,3
194@noche#pc,165,4
241@noche#mobile,690,2
178@noche#mobile,248,4
254@noche#mobile,1444,3
293@mañana#pc,5,3
127@tarde#mobile,229,5
225@noche#pc,237,5
299@mañana#mobile,229,3
225@noche#pc,480,5
276@noche#mobile,54,3
291@mañana#pc,144,5
222@noche#pc,366,4
267@mañana#mobile,518,5
42@noche#pc,403,3
11@noche#mobile,111,4
95@noche#mobile,625,4
8@noche#mobile,338,4
162@noche#mobile,25,4
87@noche#mobile,1016,4
279@tarde#mobile,154,5
145@tarde#mobile,275,2
119@noche#mobile,1153,5
62@noche#mobile,498,4
62@noche#mobile,382,3
28@noche#mobile,209,4
135@tarde#pc,23,4
32@noche#pc,294,3
90@noche#mobile,382,5
286@tarde#mobile,208,4
293@mañana#mobile,685,3
216@noche#mobile,144,4
166@mañana#mobile,328,5
250@noche#mobile,496,4
271@noche#mobile,132,5
160@noche#mobile,174,5
265@noche#pc,118,4
198@noche#mobile,498,3
42@noche#pc,96,5
168@noche#mobile,151,5
110@noche#mobile,307,4
58@noche#pc,144,4
90@noche#mobile,648,4
271@noche#pc,346,4
62@noche#mobile,21,3
279@noche#mobile,832,3
237@noche#pc,514,4
94@noche#mobile,789,4
128@noche#pc,485,3
298@tarde#mobile,317,4
44@noche#pc,195,5
264@noche#pc,200,5
194@tarde#mobile,385,2
72@tarde#mobile,195,5
222@mañana#pc,750,5
250@noche#mobile,264,3
41@noche#mobile,265,3
224@tarde#mobile,245,3
82@noche#pc,135,3
262@noche#pc,1147,4
293@mañana#pc,471,3
216@noche#pc,658,3
250@noche#pc,140,3
59@noche#pc,23,5
286@tarde#pc,379,5
244@noche#pc,815,4
7@tarde#pc,479,4
174@tarde#mobile,368,1
87@noche#pc,274,4
194@noche#mobile,1211,2
82@noche#mobile,1134,2
13@noche#mobile,836,2
13@tarde#pc,272,4
244@noche#pc,756,2
305@mañana#pc,427,5
95@noche#pc,787,2
43@noche#mobile,14,2
299@noche#pc,955,4
57@noche#pc,419,3
84@noche#pc,405,3
269@tarde#pc,504,4
299@tarde#pc,111,3
194@tarde#mobile,466,4
160@noche#pc,135,4
99@noche#mobile,268,3
10@tarde#pc,486,4
259@noche#mobile,117,4
85@noche#pc,427,3
303@noche#pc,919,4
213@noche#mobile,273,5
121@noche#mobile,514,3
90@noche#mobile,98,5
49@tarde#pc,559,2
42@noche#mobile,794,3
155@noche#pc,323,2
68@noche#pc,117,4
172@tarde#mobile,177,4
19@noche#mobile,4,4
268@noche#pc,231,4
5@tarde#pc,2,3
305@mañana#mobile,117,2
44@noche#mobile,294,4
43@tarde#mobile,137,4
279@noche#pc,1336,1
80@noche#pc,466,5
254@noche#pc,164,4
298@tarde#pc,281,3
279@noche#pc,1240,1
66@noche#pc,298,4
18@tarde#mobile,443,3
268@tarde#pc,1035,2
99@noche#pc,79,4
13@tarde#pc,98,4
26@tarde#mobile,258,3
7@tarde#pc,455,4
222@noche#pc,755,4
200@noche#mobile,673,5
